frame,seconds,midi,note,velocity,instrument,pan
16020,534.000,76,E5,0.67,0,0.16
16035,534.500,74,D5,0.48,0,0.16
16050,535.000,72,C5,0.67,0,0.16
16065,535.500,72,C5,0.48,0,0.16
16020,534.000,36,C2,0.6,1,-0.12
16050,535.000,43,G2,0.39,1,-0.12
16080,536.000,79,G5,0.67,0,0.16
16095,536.500,76,E5,0.48,0,0.16
16110,537.000,74,D5,0.67,0,0.16
16125,537.500,72,C5,0.48,0,0.16
16080,536.000,36,C2,0.6,1,-0.12
16110,537.000,43,G2,0.39,1,-0.12
16140,538.000,77,F5,0.67,0,0.16
16155,538.500,79,G5,0.48,0,0.16
16170,539.000,81,A5,0.67,0,0.16
16185,539.500,77,F5,0.48,0,0.16
16140,538.000,41,F2,0.6,1,-0.12
16170,539.000,48,C3,0.39,1,-0.12
16200,540.000,79,G5,0.67,0,0.16
16215,540.500,77,F5,0.48,0,0.16
16230,541.000,74,D5,0.67,0,0.16
16245,541.500,79,G5,0.48,0,0.16
16200,540.000,43,G2,0.6,1,-0.12
16230,541.000,50,D3,0.39,1,-0.12
16260,542.000,76,E5,0.67,0,0.16
16275,542.500,74,D5,0.48,0,0.16
16290,543.000,72,C5,0.67,0,0.16
16305,543.500,72,C5,0.48,0,0.16
16260,542.000,36,C2,0.6,1,-0.12
16290,543.000,43,G2,0.39,1,-0.12
16320,544.000,76,E5,0.67,0,0.16
16335,544.500,74,D5,0.48,0,0.16
16350,545.000,72,C5,0.67,0,0.16
16365,545.500,76,E5,0.48,0,0.16
16320,544.000,36,C2,0.6,1,-0.12
16350,545.000,43,G2,0.39,1,-0.12
16380,546.000,77,F5,0.67,0,0.16
16395,546.500,76,E5,0.48,0,0.16
16410,547.000,74,D5,0.67,0,0.16
16425,547.500,72,C5,0.48,0,0.16
16380,546.000,41,F2,0.6,1,-0.12
16410,547.000,48,C3,0.39,1,-0.12
16440,548.000,74,D5,0.67,0,0.16
16455,548.500,76,E5,0.48,0,0.16
16470,549.000,74,D5,0.67,0,0.16
16485,549.500,79,G5,0.48,0,0.16
